_id,clone_url,commit_size,full_name,gradle_num,issue_size,pom_num,repo_size,tesfile_num,status,time,detail
h2database/h2database,https://github.com/h2database/h2database.git,13461,h2database/h2database,0,2800,1,83976,318,F,,
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind.git,7797,FasterXML/jackson-databind,0,2730,1,84352,601,T,51.1s,
traccar/traccar,https://github.com/traccar/traccar.git,6638,traccar/traccar,1,3288,1,16573,346,F,,
classgraph/classgraph,https://github.com/classgraph/classgraph.git,4658,classgraph/classgraph,0,504,1,27028,179,F,,
rabbitmq/rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client.git,4405,rabbitmq/rabbitmq-java-client,0,653,1,56941,158,F,,
LWJGL/lwjgl3,https://github.com/LWJGL/lwjgl3.git,3417,LWJGL/lwjgl3,1,573,1,47434,120,T,0.86s,no test to run
mvel/mvel,https://github.com/mvel/mvel.git,3101,mvel/mvel,0,180,1,14490,113,T,11.01s,
actiontech/dble,https://github.com/actiontech/dble.git,3076,actiontech/dble,0,2489,1,17831,102,T,66s,
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server.git,2816,MyCATApache/Mycat-Server,0,1926,1,19347,164,T,29.8s,
pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc.git,2813,pgjdbc/pgjdbc,6,1786,1,18586,221,F,,
hub4j/github-api,https://github.com/hub4j/github-api.git,2774,hub4j/github-api,0,987,1,29463,68,T,5.45s,
FasterXML/jackson-core,https://github.com/FasterXML/jackson-core.git,2497,FasterXML/jackson-core,0,636,1,20549,160,T,13.85s,
junit-team/junit4,https://github.com/junit-team/junit4.git,2474,junit-team/junit4,0,1548,1,24337,252,T,18.92s,
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time.git,2174,JodaOrg/joda-time,0,525,1,11151,159,,,
lettuce-io/lettuce-core,https://github.com/lettuce-io/lettuce-core.git,2094,lettuce-io/lettuce-core,0,1646,1,18891,367,,,
redis/jedis,https://github.com/redis/jedis.git,1783,redis/jedis,0,2276,1,9733,82,T,18.5s,contains fail tests
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis.git,1447,tuguangquan/mybatis,0,8,1,50814,575,,,
jmrozanec/cron-utils,https://github.com/jmrozanec/cron-utils.git,1248,jmrozanec/cron-utils,0,457,1,2275,104,T,8.71s,
davidmoten/rtree,https://github.com/davidmoten/rtree.git,1124,davidmoten/rtree,0,75,1,1736,42,T,8.18s,
influxdata/influxdb-java,https://github.com/influxdata/influxdb-java.git,1096,influxdata/influxdb-java,0,653,1,1454,30,T,7.4s,
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket.git,1068,TooTallNate/Java-WebSocket,1,1110,1,3999,75,T,4.2s,
perwendel/spark,https://github.com/perwendel/spark.git,1062,perwendel/spark,0,994,1,2486,84,T,6.1s,
jnr/jnr-ffi,https://github.com/jnr/jnr-ffi.git,1031,jnr/jnr-ffi,0,147,1,5789,36,T,13.5s,
jboss-javassist/javassist,https://github.com/jboss-javassist/javassist.git,930,jboss-javassist/javassist,0,201,1,24840,298,F,,
spring-projects/spring-hateoas,https://github.com/spring-projects/spring-hateoas.git,925,spring-projects/spring-hateoas,0,1287,1,5519,126,T,34.2s,
uniVocity/univocity-parsers,https://github.com/uniVocity/univocity-parsers.git,871,uniVocity/univocity-parsers,0,420,1,3437,230,T,9.6s,
davidmoten/rxjava-jdbc,https://github.com/davidmoten/rxjava-jdbc.git,853,davidmoten/rxjava-jdbc,0,68,1,1177,27,T,4.8s,
jfaster/mango,https://github.com/jfaster/mango.git,779,jfaster/mango,0,39,1,2790,151,T,12.6s,
RuedigerMoeller/fast-serialization,https://github.com/RuedigerMoeller/fast-serialization.git,773,RuedigerMoeller/fast-serialization,0,225,1,5379,97,F,,
lets-blade/blade,https://github.com/lets-blade/blade.git,769,lets-blade/blade,1,359,1,5311,89,F,,
bartdag/py4j,https://github.com/bartdag/py4j.git,744,bartdag/py4j,1,300,1,16472,86,F,,
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout.git,706,crossoverJie/JCSprout,0,156,1,1182,23,F,,
mimno/Mallet,https://github.com/mimno/Mallet.git,704,mimno/Mallet,0,88,1,40896,56,T,3.2s,
pgjdbc/r2dbc-postgresql,https://github.com/pgjdbc/r2dbc-postgresql.git,577,pgjdbc/r2dbc-postgresql,0,368,1,2747,172,T,8.9s,
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git,543,pagehelper/Mybatis-PageHelper,0,428,1,4692,71,T,5.1s,
