2023-12-07 10:29:33 [main] INFO  org.regminer.miner.start.Miner - Start bfc task on univocity-parsers...
2023-12-07 10:29:35 [main] INFO  org.regminer.miner.PotentialBFCDetector - total 878commit in this project
2023-12-07 10:29:35 [main] INFO  org.regminer.miner.PotentialBFCDetector - pRFC in total :444
2023-12-07 10:29:35 [main] INFO  org.regminer.miner.BFCEvaluator - 7e7d1b3c0a3dceaed4a8413875eb1500f2a028ec checkout 
2023-12-07 10:29:35 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:adding support for collecting blank lines of comments
2023-12-07 10:29:47 [main] DEBUG org.regminer.migrate.api.Migrator - compile error after migrate
2023-12-07 10:29:47 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:29:47 [main] INFO  org.regminer.miner.BFCEvaluator - c170dcdf29c226e8c67d6cbe945ab3b2842a452e checkout 
2023-12-07 10:29:47 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed build. For some reason the original gpg signing stopped working
2023-12-07 10:29:51 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:29:51 [main] INFO  org.regminer.miner.BFCEvaluator - ed3d0d3848d1ab96aba7ea4883d5c208b6f4c5e5 checkout 
2023-12-07 10:29:51 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed quote escape detection issue reported in #444
2023-12-07 10:30:05 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_444', methodName='parseCSV'}=TestCaseResult{TestState='FAL', usageTime='3149'}}
2023-12-07 10:30:05 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:30:05 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:1
2023-12-07 10:30:05 [main] INFO  org.regminer.miner.BFCEvaluator - 5355d140172e9cef75c9a3f89f30dad9f85e46e0 checkout 
2023-12-07 10:30:05 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #438
2023-12-07 10:30:19 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_438', methodName='testSuperLongHeader'}=TestCaseResult{TestState='FAL', usageTime='2885'}}
2023-12-07 10:30:19 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:30:19 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:2
2023-12-07 10:30:19 [main] INFO  org.regminer.miner.BFCEvaluator - dcb6f2c2992f922f60c0475085da602b82768a20 checkout 
2023-12-07 10:30:19 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #424
2023-12-07 10:30:33 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_424', methodName='testReadInputOnSeparateThreadIssue'}=TestCaseResult{TestState='FAL', usageTime='2912'}}
2023-12-07 10:30:33 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:30:33 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:3
2023-12-07 10:30:33 [main] INFO  org.regminer.miner.BFCEvaluator - f53daf62833479aaef7dee898b289ec85b000e34 checkout 
2023-12-07 10:30:33 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #432
2023-12-07 10:30:47 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_432', methodName='testNestedWithMissingFields'}=TestCaseResult{TestState='FAL', usageTime='2916'}}
2023-12-07 10:30:47 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:30:47 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:4
2023-12-07 10:30:47 [main] INFO  org.regminer.miner.BFCEvaluator - 500b9b053bec2853a0754ff7b2f1301630a3135a checkout 
2023-12-07 10:30:47 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #427
2023-12-07 10:31:04 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Car', methodName='toString'}=TestCaseResult{TestState='NOTEST', usageTime='2639'}, TestCase{className='com.univocity.parsers.issues.github.Github_427', methodName='enumerationWithDefaultNullReadTest'}=TestCaseResult{TestState='FAL', usageTime='1920'}}
2023-12-07 10:31:04 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:31:04 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:5
2023-12-07 10:31:04 [main] INFO  org.regminer.miner.BFCEvaluator - 657c90c1ac1d49114ba57a20d35d7ec00097b3b1 checkout 
2023-12-07 10:31:04 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issues #420 and #434
2023-12-07 10:31:19 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_420', methodName='detectedFormatTest'}=TestCaseResult{TestState='FAL', usageTime='2897'}}
2023-12-07 10:31:19 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:31:19 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:6
