"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"square/okhttp","https://github.com/square/okhttp.git","4825","square/okhttp","27","6406","0","40323","true","113"
"square/retrofit","https://github.com/square/retrofit.git","1865","square/retrofit","23","3363","0","5508","true","137"
"apache/dubbo","https://github.com/apache/dubbo.git","4597","apache/dubbo","0","6531","114","30892","true","1026"
"bumptech/glide","https://github.com/bumptech/glide.git","2576","bumptech/glide","28","4272","0","90931","true","239"
"skylot/jadx","https://github.com/skylot/jadx.git","1452","skylot/jadx","11","972","0","16493","true","471"
"ctripcorp/apollo","https://github.com/ctripcorp/apollo.git","2481","ctripcorp/apollo","0","3364","13","46242","true","178"
"Netflix/Hystrix","https://github.com/Netflix/Hystrix.git","2109","Netflix/Hystrix","16","1423","0","9784","true","132"
"xkcoding/spring-boot-demo","https://github.com/xkcoding/spring-boot-demo.git","731","xkcoding/spring-boot-demo","0","102","70","13856","true","92"
"alibaba/canal","https://github.com/alibaba/canal.git","1411","alibaba/canal","0","2787","38","18359","true","113"
"facebook/fresco","https://github.com/facebook/fresco.git","2835","facebook/fresco","50","2425","1","72259","true","216"
"redisson/redisson","https://github.com/redisson/redisson.git","6398","redisson/redisson","0","3316","24","17080","true","342"
"alibaba/Sentinel","https://github.com/alibaba/Sentinel.git","685","alibaba/Sentinel","0","1754","85","7093","true","262"
"openzipkin/zipkin","https://github.com/openzipkin/zipkin.git","2626","openzipkin/zipkin","0","3160","17","64317","true","167"
"apache/rocketmq","https://github.com/apache/rocketmq.git","1480","apache/rocketmq","0","2345","17","9028","true","294"
"LMAX-Exchange/disruptor","https://github.com/LMAX-Exchange/disruptor.git","1152","LMAX-Exchange/disruptor","1","342","0","8957","true","118"
"dyc87112/SpringBoot-Learning","https://github.com/dyc87112/SpringBoot-Learning.git","402","dyc87112/SpringBoot-Learning","0","16","120","34270","true","82"
"material-components/material-components-android","https://github.com/material-components/material-components-android.git","3785","material-components/material-components-android","11","1438","0","58403","true","167"
