"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"hanks-zyh/SmallBang","https://github.com/hanks-zyh/SmallBang.git","30","hanks-zyh/SmallBang","13","6379","false"
"yahoo/egads","https://github.com/yahoo/egads.git","101","yahoo/egads","46","1362","false"
"nikhilpanju/RecyclerViewEnhanced","https://github.com/nikhilpanju/RecyclerViewEnhanced.git","29","nikhilpanju/RecyclerViewEnhanced","15","886","false"
"abel533/ECharts","https://github.com/abel533/ECharts.git","296","abel533/ECharts","8","1848","false"
"imbryk/LoopingViewPager","https://github.com/imbryk/LoopingViewPager.git","12","imbryk/LoopingViewPager","12","534","false"
"MZCretin/ExpandableTextView","https://github.com/MZCretin/ExpandableTextView.git","68","MZCretin/ExpandableTextView","39","38125","false"
"AnthonyFermin/DropDownView","https://github.com/AnthonyFermin/DropDownView.git","34","AnthonyFermin/DropDownView","3","206","false"
"Netflix/Priam","https://github.com/Netflix/Priam.git","1432","Netflix/Priam","882","13071","true"
"tomthecarrot/arcore-for-all","https://github.com/tomthecarrot/arcore-for-all.git","60","tomthecarrot/arcore-for-all","32","67475","false"
"00-Evan/shattered-pixel-dungeon","https://github.com/00-Evan/shattered-pixel-dungeon.git","4564","00-Evan/shattered-pixel-dungeon","651","44393","true"
"lucasr/smoothie","https://github.com/lucasr/smoothie.git","96","lucasr/smoothie","21","867","false"
"intuit/wasabi","https://github.com/intuit/wasabi.git","1084","intuit/wasabi","300","19431","true"
"scola/Qart","https://github.com/scola/Qart.git","43","scola/Qart","3","3402","false"
"crazyqiang/AndroidStudy","https://github.com/crazyqiang/AndroidStudy.git","110","crazyqiang/AndroidStudy","4","13922","false"
"DragonetMC/DragonProxy","https://github.com/DragonetMC/DragonProxy.git","257","DragonetMC/DragonProxy","532","15222","false"
"ShamylZakariya/FlyoutMenus","https://github.com/ShamylZakariya/FlyoutMenus.git","26","ShamylZakariya/FlyoutMenus","5","8657","false"
"hongyangAndroid/MPermissions","https://github.com/hongyangAndroid/MPermissions.git","10","hongyangAndroid/MPermissions","13","389","false"
"wildma/IDCardCamera","https://github.com/wildma/IDCardCamera.git","44","wildma/IDCardCamera","30","8276","false"
"codenameone/CodenameOne","https://github.com/codenameone/CodenameOne.git","7205","codenameone/CodenameOne","2877","220363","false"
"timebusker/spring-boot","https://github.com/timebusker/spring-boot.git","229","timebusker/spring-boot","14","12159","false"
"getActivity/TitleBar","https://github.com/getActivity/TitleBar.git","31","getActivity/TitleBar","39","24062","false"
"sofastack/sofa-ark","https://github.com/sofastack/sofa-ark.git","239","sofastack/sofa-ark","413","17529","false"
"HanSolo/tilesfx","https://github.com/HanSolo/tilesfx.git","881","HanSolo/tilesfx","105","22140","true"
"alexxiyang/shiro-redis","https://github.com/alexxiyang/shiro-redis.git","229","alexxiyang/shiro-redis","132","855","false"
"kohlschutter/boilerpipe","https://github.com/kohlschutter/boilerpipe.git","188","kohlschutter/boilerpipe","8","2377","false"
"seven456/MultiChannelPackageTool","https://github.com/seven456/MultiChannelPackageTool.git","50","seven456/MultiChannelPackageTool","20","363","false"
"iReaderAndroid/ZeusPlugin","https://github.com/iReaderAndroid/ZeusPlugin.git","68","iReaderAndroid/ZeusPlugin","4","17132","false"
"enilu/web-flash","https://github.com/enilu/web-flash.git","333","enilu/web-flash","78","15780","true"
"purplecabbage/phonegap-plugins","https://github.com/purplecabbage/phonegap-plugins.git","1633","purplecabbage/phonegap-plugins","59","62019","false"
"psdcompany/duo-navigation-drawer","https://github.com/psdcompany/duo-navigation-drawer.git","117","psdcompany/duo-navigation-drawer","25","22127","false"
"apache/usergrid","https://github.com/apache/usergrid.git","10954","apache/usergrid","599","383452","false"
"bufferapp/BufferTextInputLayout","https://github.com/bufferapp/BufferTextInputLayout.git","21","bufferapp/BufferTextInputLayout","7","252","false"
"BlueMor/DragLayout","https://github.com/BlueMor/DragLayout.git","31","BlueMor/DragLayout","3","5984","false"
"DWorkS/VolleyPlus","https://github.com/DWorkS/VolleyPlus.git","138","DWorkS/VolleyPlus","52","2971","false"
"serso/android-checkout","https://github.com/serso/android-checkout.git","409","serso/android-checkout","157","2110","true"
"yangpeixing/YImagePicker","https://github.com/yangpeixing/YImagePicker.git","196","yangpeixing/YImagePicker","77","31983","false"
"signalapp/BitHub","https://github.com/signalapp/BitHub.git","38","signalapp/BitHub","23","549","false"
"AndroidVTS/android-vts","https://github.com/AndroidVTS/android-vts.git","389","AndroidVTS/android-vts","129","52035","true"
"hyperledger/fabric-sdk-java","https://github.com/hyperledger/fabric-sdk-java.git","498","hyperledger/fabric-sdk-java","119","5695","true"
"diwi/PixelFlow","https://github.com/diwi/PixelFlow.git","510","diwi/PixelFlow","23","36159","true"
"nordnet/cordova-hot-code-push","https://github.com/nordnet/cordova-hot-code-push.git","480","nordnet/cordova-hot-code-push","370","916","true"
"pig-mesh/pig","https://github.com/pig-mesh/pig.git","429","pig-mesh/pig","6","10102","true"
"booncol/Pulsator4Droid","https://github.com/booncol/Pulsator4Droid.git","34","booncol/Pulsator4Droid","7","212","false"
"youlookwhat/ByWebView","https://github.com/youlookwhat/ByWebView.git","162","youlookwhat/ByWebView","25","7995","false"
"msdx/status-bar-compat","https://github.com/msdx/status-bar-compat.git","78","msdx/status-bar-compat","39","212","false"
"TeamNB/FakeBiliBili","https://github.com/TeamNB/FakeBiliBili.git","56","TeamNB/FakeBiliBili","2","26111","false"
"influxdata/influxdb-java","https://github.com/influxdata/influxdb-java.git","1096","influxdata/influxdb-java","653","1454","true"
"AntonioRedondo/AnotherMonitor","https://github.com/AntonioRedondo/AnotherMonitor.git","58","AntonioRedondo/AnotherMonitor","9","307","false"
"zstackio/zstack","https://github.com/zstackio/zstack.git","10450","zstackio/zstack","1150","104245","false"
"cprcrack/VideoEnabledWebView","https://github.com/cprcrack/VideoEnabledWebView.git","13","cprcrack/VideoEnabledWebView","12","114","false"
"Discord4J/Discord4J","https://github.com/Discord4J/Discord4J.git","3313","Discord4J/Discord4J","844","21628","true"
"redwarp/9-Patch-Resizer","https://github.com/redwarp/9-Patch-Resizer.git","111","redwarp/9-Patch-Resizer","31","540","false"
"apache/cloudstack","https://github.com/apache/cloudstack.git","34030","apache/cloudstack","4498","554879","false"
"spring-projects/spring-restdocs","https://github.com/spring-projects/spring-restdocs.git","960","spring-projects/spring-restdocs","666","4762","true"
"JaceyRx/Examination_System","https://github.com/JaceyRx/Examination_System.git","18","JaceyRx/Examination_System","6","884","false"
"banq/jdonframework","https://github.com/banq/jdonframework.git","431","banq/jdonframework","12","133312","false"
"Krupen/AutoplayVideos","https://github.com/Krupen/AutoplayVideos.git","133","Krupen/AutoplayVideos","67","13386","false"
"eclipse/jgit","https://github.com/eclipse/jgit.git","8289","eclipse/jgit","66","113446","false"
"openmrs/openmrs-core","https://github.com/openmrs/openmrs-core.git","11381","openmrs/openmrs-core","3563","232870","false"
"nguyenq/tess4j","https://github.com/nguyenq/tess4j.git","446","nguyenq/tess4j","194","184409","false"
"algorithm004-01/algorithm004-01","https://github.com/algorithm004-01/algorithm004-01.git","2353","algorithm004-01/algorithm004-01","777","97347","false"
"stealthcopter/AndroidNetworkTools","https://github.com/stealthcopter/AndroidNetworkTools.git","152","stealthcopter/AndroidNetworkTools","63","486","false"
"panwrona/DownloadProgressBar","https://github.com/panwrona/DownloadProgressBar.git","11","panwrona/DownloadProgressBar","7","887","false"
"koush/UrlImageViewHelper","https://github.com/koush/UrlImageViewHelper.git","155","koush/UrlImageViewHelper","69","2776","false"
"linkedin/test-butler","https://github.com/linkedin/test-butler.git","116","linkedin/test-butler","101","361","false"
"gongwen/SwipeBackLayout","https://github.com/gongwen/SwipeBackLayout.git","21","gongwen/SwipeBackLayout","3","9386","false"
"YangModels/yang","https://github.com/YangModels/yang.git","1912","YangModels/yang","956","85927","false"
